,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,72.68,1847.84,212.1,126.4,205.25,1339.39,73.41,1847.84,212.1,126.4,205.25,1339.39,73.42,1853.26,213.64,126.9,205.56,1340.66,72.38,1832.23,210.73,124.67,203.6,1332.13,72.48,1842.0,212.0,125.53,204.0,1335.79,100805600,2506500,6773600,1863900,8953500,975700
2020-01-02,74.33,1898.01,219.77,138.22,209.78,1368.68,75.09,1898.01,219.77,138.22,209.78,1368.68,75.15,1898.01,219.98,138.64,209.79,1368.68,73.8,1864.15,216.54,129.44,206.27,1346.49,74.06,1875.0,216.6,129.49,206.75,1348.41,135480400,4029000,15873500,8001400,12077100,1363900
2020-01-03,73.61,1874.97,217.0,133.8,208.67,1361.52,74.36,1874.97,217.0,133.8,208.67,1361.52,75.14,1886.2,218.2,137.16,210.4,1373.75,74.12,1864.5,216.01,133.78,206.95,1347.32,74.29,1864.5,216.35,134.58,207.21,1348.0,146322800,3764400,8604500,5184800,11188400,1170400
2020-01-06,74.2,1902.88,216.64,135.94,212.6,1397.81,74.95,1902.88,216.64,135.94,212.6,1397.81,74.99,1903.69,217.16,136.74,212.78,1398.32,73.19,1860.0,214.09,132.51,206.52,1351.0,73.45,1860.0,214.89,132.78,206.7,1351.63,118387200,4061800,11885500,3930700,17058900,2338400
2020-01-07,73.85,1906.86,217.63,136.7,213.06,1395.11,74.6,1906.86,217.63,136.7,213.06,1395.11,75.22,1913.89,218.94,139.47,214.58,1403.5,74.37,1892.04,216.69,135.4,211.75,1391.56,74.96,1904.5,217.64,138.19,212.82,1400.46,108872000,4044900,9388000,4535800,14912400,1716500
2020-01-08,75.04,1891.97,218.0,137.83,215.22,1405.04,75.8,1891.97,218.0,137.83,215.22,1405.04,76.11,1911.0,220.65,139.17,216.24,1411.85,74.29,1886.44,216.32,135.7,212.61,1392.63,74.29,1898.04,216.6,136.74,213.0,1394.82,132079200,3508000,11959100,3818900,13475000,1765700
2020-01-09,76.63,1901.05,221.78,140.86,218.3,1419.79,77.41,1901.05,221.78,140.86,218.3,1419.79,77.61,1917.82,223.08,142.48,218.38,1428.68,76.55,1895.8,220.82,140.02,216.28,1410.21,76.81,1909.89,221.5,141.0,217.54,1421.93,170108400,3167300,13122500,6278800,12642800,1660000
2020-01-10,76.8,1883.16,223.83,144.51,218.06,1428.96,77.58,1883.16,223.83,144.51,218.06,1428.96,78.17,1906.94,225.96,144.76,219.88,1434.94,77.06,1880.0,222.06,140.86,217.42,1419.6,77.65,1905.37,223.9,142.62,219.2,1429.47,140644800,2853700,12296000,6739500,12119400,1312900
2020-01-13,78.44,1891.3,230.48,142.26,221.91,1440.03,79.24,1891.3,230.48,142.26,221.91,1440.03,79.27,1898.0,231.14,147.38,221.97,1441.48,77.79,1880.8,227.04,141.75,219.21,1425.37,77.91,1891.31,228.81,147.0,219.6,1435.25,121532000,2780800,17544800,6549300,14463400,1536500
2020-01-14,77.39,1869.44,226.49,140.04,219.06,1430.59,78.17,1869.44,226.49,140.04,219.06,1430.59,79.39,1887.11,230.18,142.2,222.38,1442.63,78.04,1858.55,224.88,138.01,218.63,1427.77,79.18,1885.88,230.05,140.68,221.61,1440.0,161954400,3440900,17266900,4878500,13288900,1303800
2020-01-15,77.05,1862.02,225.06,139.4,221.15,1439.2,77.83,1862.02,225.06,139.4,221.15,1439.2,78.88,1878.86,227.82,141.17,221.68,1440.78,77.39,1855.09,224.39,138.39,220.14,1431.66,77.96,1872.25,226.65,139.57,220.61,1433.02,121923600,2896600,10743400,3710400,10036500,1077500
2020-01-16,78.02,1877.94,223.94,139.49,221.77,1450.16,78.81,1877.94,223.94,139.49,221.77,1450.16,78.93,1885.59,226.33,142.62,222.63,1450.7,78.02,1866.02,222.73,138.8,220.39,1440.0,78.4,1882.99,226.3,142.61,222.57,1445.45,108829200,2659500,13700500,4069900,10015300,1304000
2020-01-17,78.88,1864.72,227.43,139.61,222.14,1479.52,79.68,1864.72,227.43,139.61,222.14,1479.52,79.68,1886.64,228.0,140.99,222.29,1480.55,78.75,1857.25,225.35,138.35,220.53,1456.55,79.07,1885.89,225.9,140.61,222.03,1462.54,137816400,3997300,12956200,4232600,15905900,2621200
2020-01-21,78.35,1892.0,222.26,137.1,221.44,1482.25,79.14,1892.0,222.26,137.1,221.44,1482.25,79.75,1894.27,222.6,139.0,222.37,1489.88,79.0,1860.0,220.73,134.4,219.12,1470.21,79.3,1865.0,222.45,136.49,222.16,1479.0,110843200,3707800,15831100,4090600,14275800,2446500
2020-01-22,78.63,1887.46,222.37,134.8,221.32,1483.87,79.43,1887.46,222.37,134.8,221.32,1483.87,80.0,1902.5,225.58,138.87,222.75,1500.58,79.33,1883.34,222.0,134.72,221.28,1482.66,79.64,1896.09,224.69,138.55,222.31,1489.73,101832400,3216300,10059600,4444000,12212800,1422900
2020-01-23,79.01,1884.58,219.13,134.2,219.76,1484.69,79.81,1884.58,219.13,134.2,219.76,1484.69,79.89,1889.98,220.13,134.38,221.49,1493.5,78.91,1872.76,216.77,131.17,219.27,1480.32,79.48,1885.11,217.93,132.22,220.75,1487.55,104472000,2484600,18519900,4153900,11195000,1332500
2020-01-24,78.78,1861.64,213.75,130.0,217.94,1466.17,79.58,1861.64,213.75,130.0,217.94,1466.17,80.83,1894.99,219.83,134.4,221.78,1494.2,79.38,1847.44,211.32,128.31,216.11,1463.18,80.06,1891.37,218.49,134.25,220.8,1492.82,146537600,3766200,18143900,4309800,11905800,1489300
2020-01-27,76.46,1828.34,205.47,126.28,214.87,1431.73,77.24,1828.34,205.47,126.28,214.87,1431.73,77.94,1841.0,208.02,127.39,216.06,1436.58,76.22,1815.34,199.5,121.0,212.5,1419.5,77.51,1820.0,201.22,122.0,213.1,1431.54,161940000,3528500,24574700,5428600,13810700,1706600
2020-01-28,78.62,1853.25,210.23,126.93,217.79,1450.5,79.42,1853.25,210.23,126.93,217.79,1450.5,79.6,1858.11,210.91,128.3,218.74,1454.8,78.05,1830.02,207.17,125.82,213.52,1430.36,78.15,1840.5,209.74,128.05,216.14,1441.74,162234000,2808000,16196700,2778500,13413800,1486200
2020-01-29,80.27,1858.0,212.02,126.47,223.23,1456.7,81.08,1858.0,212.02,126.47,223.23,1456.7,81.96,1874.75,213.98,128.18,224.2,1464.14,80.35,1855.02,209.52,126.08,218.45,1445.39,81.11,1864.0,212.56,127.97,221.44,1458.46,216229200,2088000,12871900,2428800,33181300,1078300
2020-01-30,80.15,1870.68,208.58,125.74,209.53,1454.25,80.97,1870.68,208.58,125.74,209.53,1454.25,81.02,1872.87,209.86,126.11,211.43,1455.25,79.69,1850.61,205.03,122.32,204.75,1435.0,80.14,1858.0,207.88,123.3,206.53,1438.1,126743200,6327400,14376000,2952100,48775500,1355500
2020-01-31,76.6,2008.72,206.59,123.56,201.91,1432.78,77.38,2008.72,206.59,123.56,201.91,1432.78,80.67,2055.72,207.93,123.88,208.69,1469.67,77.07,2002.27,204.73,122.0,201.06,1427.06,80.23,2051.47,206.5,123.2,208.43,1467.86,199588400,15567300,18181400,4880900,31359900,2191100
2020-02-03,76.39,2004.2,213.1,130.49,204.19,1482.6,77.17,2004.2,213.1,130.49,204.19,1482.6,78.37,2048.5,215.02,133.78,205.14,1486.3,75.56,2000.25,208.67,126.9,202.5,1456.61,76.07,2010.6,208.67,127.15,203.44,1461.65,173985600,5899100,14118800,7711200,15495600,3608800
2020-02-04,78.91,2049.67,222.88,131.37,209.83,1445.41,79.71,2049.67,222.88,131.37,209.83,1445.41,79.91,2059.8,224.38,134.95,210.6,1467.34,78.41,2015.37,220.49,131.11,205.2,1422.03,78.83,2029.88,221.35,134.7,206.62,1454.49,136616400,5289300,16695100,3873200,19628900,4794000
2020-02-05,79.56,2039.87,220.22,130.75,210.11,1446.05,80.36,2039.87,220.22,130.75,210.11,1446.05,81.19,2071.02,226.7,134.58,212.73,1464.58,79.74,2032.0,217.54,129.46,208.71,1429.68,80.88,2071.02,226.52,134.52,212.51,1463.61,118826800,4376200,15766100,3523200,12538200,1818800
2020-02-06,80.49,2050.23,220.9,133.16,210.85,1475.97,81.3,2050.23,220.9,133.16,210.85,1475.97,81.31,2056.3,223.65,133.74,211.19,1481.56,80.07,2024.8,219.78,130.34,209.34,1450.48,80.64,2041.02,223.13,132.25,210.47,1451.98,105425600,3183000,10790800,3208200,10567500,1891100
2020-02-07,79.39,2079.28,216.53,130.91,212.33,1479.11,80.01,2079.28,216.53,130.91,212.33,1479.11,80.85,2098.53,217.84,131.84,212.82,1485.25,79.5,2038.1,214.88,129.7,209.93,1465.41,80.59,2041.99,217.46,131.02,210.3,1467.39,117684000,5095300,13790300,2765700,12242500,1418000
2020-02-10,79.77,2133.91,215.77,131.05,213.06,1508.66,80.39,2133.91,215.77,131.05,213.06,1508.66,80.39,2135.6,215.77,131.69,213.8,1508.88,78.46,2084.96,212.2,129.2,210.66,1475.2,78.54,2085.01,213.5,129.26,211.52,1477.23,109348800,5056200,17420300,3326700,11856400,1915100
